Hour,Day,Weather,Holiday,Zone,Traffic
5,1,0,0,13,56
5,1,0,0,14,56
5,1,0,0,15,62
6,1,0,0,0,187
6,1,0,0,1,229
6,1,0,0,2,175
6,1,0,0,3,195
6,1,0,0,4,185
6,1,0,0,5,173
6,1,0,0,6,174
6,1,0,0,7,197
6,1,0,0,8,206
6,1,0,0,9,173
6,1,0,0,10,200
6,1,0,0,11,194
6,1,0,0,12,182
6,1,0,0,13,181
6,1,0,0,14,179
6,1,0,0,15,179
7,1,0,0,0,309
7,1,0,0,1,347
7,1,0,0,2,300
7,1,0,0,3,324
7,1,0,0,4,317
7,1,0,0,5,304
7,1,0,0,6,307
7,1,0,0,7,316
7,1,0,0,8,331
7,1,0,0,9,285
7,1,0,0,10,338
7,1,0,0,11,318
7,1,0,0,12,313
7,1,0,0,13,280
7,1,0,0,14,276
7,1,0,0,15,286
8,1,0,0,0,536
8,1,0,0,1,703
8,1,0,0,2,534
8,1,0,0,3,620
8,1,0,0,4,555
8,1,0,0,5,548
8,1,0,0,6,560
8,1,0,0,7,572
8,1,0,0,8,623
8,1,0,0,9,537
8,1,0,0,10,635
8,1,0,0,11,565
8,1,0,0,12,502
8,1,0,0,13,478
8,1,0,0,14,483
8,1,0,0,15,561
9,1,0,0,0,645
9,1,0,0,1,788
9,1,0,0,2,643
9,1,0,0,3,682
9,1,0,0,4,695
9,1,0,0,5,621
9,1,0,0,6,677
9,1,0,0,7,671
9,1,0,0,8,686
9,1,0,0,9,603
9,1,0,0,10,769
9,1,0,0,11,712
9,1,0,0,12,606
9,1,0,0,13,573
9,1,0,0,14,587
9,1,0,0,15,583
10,1,0,0,0,512
10,1,0,0,1,610
10,1,0,0,2,517
10,1,0,0,3,573
10,1,0,0,4,573
10,1,0,0,5,499
10,1,0,0,6,533
10,1,0,0,7,498
10,1,0,0,8,587
10,1,0,0,9,502
10,1,0,0,10,559
10,1,0,0,11,523
10,1,0,0,12,491
10,1,0,0,13,492
10,1,0,0,14,428
10,1,0,0,15,498
11,1,0,0,0,398
11,1,0,0,1,471
11,1,0,0,2,423
11,1,0,0,3,451
11,1,0,0,4,447
11,1,0,0,5,386
11,1,0,0,6,395
11,1,0,0,7,420
11,1,0,0,8,464
11,1,0,0,9,409
11,1,0,0,10,439
11,1,0,0,11,425
11,1,0,0,12,392
11,1,0,0,13,408
11,1,0,0,14,380
11,1,0,0,15,375
12,1,0,0,0,307
12,1,0,0,1,374
12,1,0,0,2,330
12,1,0,0,3,332
12,1,0,0,4,320
12,1,0,0,5,275
12,1,0,0,6,313
12,1,0,0,7,314
12,1,0,0,8,348
12,1,0,0,9,304
12,1,0,0,10,354
12,1,0,0,11,305
12,1,0,0,12,283
12,1,0,0,13,312
12,1,0,0,14,260
12,1,0,0,15,288
13,1,0,0,0,405
13,1,0,0,1,492
13,1,0,0,2,431
13,1,0,0,3,494
13,1,0,0,4,426
13,1,0,0,5,403
13,1,0,0,6,438
13,1,0,0,7,451
13,1,0,0,8,473
13,1,0,0,9,423
13,1,0,0,10,454
13,1,0,0,11,439
13,1,0,0,12,402
13,1,0,0,13,392
13,1,0,0,14,362
13,1,0,0,15,414
14,1,0,0,0,342
14,1,0,0,1,397
14,1,0,0,2,338
14,1,0,0,3,356
14,1,0,0,4,357
14,1,0,0,5,322
14,1,0,0,6,366
14,1,0,0,7,375
14,1,0,0,8,388
14,1,0,0,9,327
14,1,0,0,10,365
14,1,0,0,11,369
14,1,0,0,12,326
14,1,0,0,13,314
14,1,0,0,14,273
14,1,0,0,15,335
15,1,0,0,0,339
15,1,0,0,1,410
15,1,0,0,2,347
15,1,0,0,3,371
15,1,0,0,4,359
15,1,0,0,5,327
15,1,0,0,6,348
15,1,0,0,7,382
15,1,0,0,8,351
15,1,0,0,9,343
15,1,0,0,10,394
15,1,0,0,11,365
15,1,0,0,12,326
15,1,0,0,13,294
15,1,0,0,14,305
15,1,0,0,15,354
16,1,0,0,0,546
16,1,0,0,1,648
16,1,0,0,2,530
16,1,0,0,3,593
16,1,0,0,4,607
16,1,0,0,5,542
16,1,0,0,6,592
16,1,0,0,7,605
16,1,0,0,8,636
16,1,0,0,9,592
16,1,0,0,10,636
16,1,0,0,11,596
16,1,0,0,12,523
16,1,0,0,13,506
16,1,0,0,14,468
16,1,0,0,15,550
17,1,0,0,0,752
17,1,0,0,1,931
17,1,0,0,2,780
17,1,0,0,3,883
17,1,0,0,4,814
17,1,0,0,5,679
17,1,0,0,6,756
17,1,0,0,7,754
17,1,0,0,8,839
17,1,0,0,9,803
17,1,0,0,10,878
17,1,0,0,11,768
17,1,0,0,12,695
17,1,0,0,13,693
17,1,0,0,14,627
17,1,0,0,15,705
18,1,0,0,0,798
18,1,0,0,1,917
18,1,0,0,2,693
18,1,0,0,3,839
18,1,0,0,4,798
18,1,0,0,5,742
18,1,0,0,6,812
18,1,0,0,7,730
18,1,0,0,8,842
18,1,0,0,9,781
18,1,0,0,10,808
18,1,0,0,11,843
18,1,0,0,12,741
18,1,0,0,13,720
18,1,0,0,14,648
18,1,0,0,15,754
19,1,0,0,0,757
19,1,0,0,1,890
19,1,0,0,2,724
19,1,0,0,3,810
19,1,0,0,4,778
19,1,0,0,5,728
19,1,0,0,6,780
19,1,0,0,7,749
19,1,0,0,8,843
19,1,0,0,9,794
19,1,0,0,10,822
19,1,0,0,11,757
19,1,0,0,12,723
19,1,0,0,13,708
19,1,0,0,14,652
19,1,0,0,15,755
20,1,0,0,0,590
20,1,0,0,1,740
20,1,0,0,2,572
20,1,0,0,3,577
20,1,0,0,4,641
20,1,0,0,5,542
20,1,0,0,6,579
20,1,0,0,7,634
20,1,0,0,8,610
20,1,0,0,9,548
20,1,0,0,10,610
20,1,0,0,11,583
20,1,0,0,12,562
20,1,0,0,13,538
20,1,0,0,14,507
20,1,0,0,15,521
21,1,0,0,0,363
21,1,0,0,1,442
21,1,0,0,2,380
21,1,0,0,3,404
21,1,0,0,4,397
21,1,0,0,5,357
21,1,0,0,6,377
21,1,0,0,7,375
21,1,0,0,8,415
21,1,0,0,9,373
21,1,0,0,10,432
21,1,0,0,11,380
21,1,0,0,12,361
21,1,0,0,13,334
21,1,0,0,14,320
21,1,0,0,15,365
22,1,0,0,0,175
22,1,0,0,1,197
22,1,0,0,2,180
22,1,0,0,3,208
22,1,0,0,4,191
22,1,0,0,5,179
22,1,0,0,6,194
22,1,0,0,7,204
22,1,0,0,8,209
22,1,0,0,9,196
22,1,0,0,10,211
22,1,0,0,11,187
22,1,0,0,12,173
22,1,0,0,13,159
22,1,0,0,14,156
22,1,0,0,15,175
23,1,0,0,0,111
23,1,0,0,1,140
23,1,0,0,2,113
23,1,0,0,3,130
23,1,0,0,4,122
23,1,0,0,5,104
23,1,0,0,6,122
23,1,0,0,7,120
23,1,0,0,8,130
23,1,0,0,9,113
23,1,0,0,10,130
23,1,0,0,11,125
23,1,0,0,12,112
23,1,0,0,13,109
23,1,0,0,14,104
23,1,0,0,15,119
0,2,0,0,0,49
0,2,0,0,1,61
0,2,0,0,2,51
0,2,0,0,3,54
0,2,0,0,4,53
0,2,0,0,5,51
0,2,0,0,6,54
0,2,0,0,7,52
0,2,0,0,8,57
0,2,0,0,9,52
0,2,0,0,10,55
0,2,0,0,11,53
0,2,0,0,12,48
0,2,0,0,13,46
0,2,0,0,14,42
0,2,0,0,15,45
1,2,0,0,0,26
1,2,0,0,1,30
1,2,0,0,2,28
1,2,0,0,3,30
1,2,0,0,4,26
1,2,0,0,5,25
1,2,0,0,6,26
1,2,0,0,7,27
1,2,0,0,8,30
1,2,0,0,9,27
1,2,0,0,10,29
1,2,0,0,11,28
1,2,0,0,12,24
1,2,0,0,13,24
1,2,0,0,14,25
1,2,0,0,15,25
2,2,0,0,0,21
2,2,0,0,1,24
2,2,0,0,2,21
2,2,0,0,3,22
2,2,0,0,4,22
2,2,0,0,5,19
2,2,0,0,6,21
2,2,0,0,7,23
2,2,0,0,8,24
2,2,0,0,9,21
2,2,0,0,10,24
2,2,0,0,11,21
2,2,0,0,12,21
2,2,0,0,13,18
2,2,0,0,14,18
2,2,0,0,15,18
3,2,0,0,0,20
3,2,0,0,1,22
3,2,0,0,2,18
3,2,0,0,3,18
3,2,0,0,4,20
3,2,0,0,5,20
3,2,0,0,6,19
3,2,0,0,7,20
3,2,0,0,8,22
3,2,0,0,9,18
3,2,0,0,10,21
3,2,0,0,11,20
3,2,0,0,12,18
3,2,0,0,13,18
3,2,0,0,14,17
3,2,0,0,15,19
4,2,0,0,0,26
4,2,0,0,1,28
4,2,0,0,2,24
4,2,0,0,3,28
4,2,0,0,4,26
4,2,0,0,5,25
4,2,0,0,6,24
4,2,0,0,7,27
4,2,0,0,8,28
4,2,0,0,9,25
4,2,0,0,10,30
4,2,0,0,11,25
4,2,0,0,12,23
4,2,0,0,13,22
4,2,0,0,14,22
4,2,0,0,15,22
5,2,0,0,0,69
5,2,0,0,1,70
5,2,0,0,2,64
5,2,0,0,3,67
5,2,0,0,4,67
5,2,0,0,5,64
5,2,0,0,6,66
5,2,0,0,7,68
5,2,0,0,8,74
5,2,0,0,9,67
5,2,0,0,10,72
5,2,0,0,11,71
5,2,0,0,12,65
5,2,0,0,13,61
5,2,0,0,14,59
5,2,0,0,15,64
6,2,0,0,0,169
6,2,0,0,1,195
6,2,0,0,2,164
6,2,0,0,3,177
6,2,0,0,4,172
6,2,0,0,5,163
6,2,0,0,6,174
6,2,0,0,7,179
6,2,0,0,8,188
6,2,0,0,9,177
6,2,0,0,10,199
6,2,0,0,11,178
6,2,0,0,12,160
6,2,0,0,13,160
6,2,0,0,14,150
6,2,0,0,15,154
7,2,0,0,0,344
7,2,0,0,1,378
7,2,0,0,2,360
7,2,0,0,3,390
7,2,0,0,4,353
7,2,0,0,5,331
7,2,0,0,6,309
7,2,0,0,7,340
7,2,0,0,8,382
7,2,0,0,9,327
7,2,0,0,10,397
7,2,0,0,11,385
7,2,0,0,12,311
7,2,0,0,13,301
7,2,0,0,14,300
7,2,0,0,15,348
8,2,0,0,0,654
8,2,0,0,1,669
8,2,0,0,2,579
8,2,0,0,3,652
8,2,0,0,4,623
8,2,0,0,5,602
8,2,0,0,6,616
8,2,0,0,7,591
8,2,0,0,8,704
8,2,0,0,9,596
8,2,0,0,10,725
8,2,0,0,11,620
8,2,0,0,12,569
8,2,0,0,13,569
8,2,0,0,14,547
8,2,0,0,15,594
9,2,0,0,0,644
9,2,0,0,1,796
9,2,0,0,2,633
9,2,0,0,3,743
9,2,0,0,4,678
9,2,0,0,5,610
9,2,0,0,6,691
9,2,0,0,7,708
9,2,0,0,8,741
9,2,0,0,9,711
9,2,0,0,10,746
9,2,0,0,11,702
9,2,0,0,12,649
9,2,0,0,13,598
9,2,0,0,14,595
9,2,0,0,15,629
10,2,0,0,0,526
10,2,0,0,1,582
10,2,0,0,2,584
10,2,0,0,3,657
10,2,0,0,4,563
10,2,0,0,5,484
10,2,0,0,6,542
10,2,0,0,7,566
10,2,0,0,8,615
10,2,0,0,9,524
10,2,0,0,10,634
10,2,0,0,11,584
10,2,0,0,12,493
10,2,0,0,13,515
10,2,0,0,14,516
10,2,0,0,15,528
11,2,0,0,0,396
11,2,0,0,1,422
11,2,0,0,2,389
11,2,0,0,3,414
11,2,0,0,4,433
11,2,0,0,5,367
11,2,0,0,6,412
11,2,0,0,7,386
11,2,0,0,8,447
11,2,0,0,9,391
11,2,0,0,10,422
11,2,0,0,11,406
11,2,0,0,12,388
11,2,0,0,13,348
11,2,0,0,14,313
11,2,0,0,15,369
12,2,0,0,0,346
12,2,0,0,1,379
12,2,0,0,2,324
12,2,0,0,3,384
12,2,0,0,4,354
12,2,0,0,5,298
12,2,0,0,6,358
12,2,0,0,7,366
12,2,0,0,8,381
12,2,0,0,9,328
12,2,0,0,10,405
12,2,0,0,11,367
12,2,0,0,12,363
12,2,0,0,13,322
12,2,0,0,14,306
12,2,0,0,15,329
13,2,0,0,0,380
13,2,0,0,1,416
13,2,0,0,2,356
13,2,0,0,3,386
13,2,0,0,4,390
13,2,0,0,5,367
13,2,0,0,6,356
13,2,0,0,7,372
13,2,0,0,8,415
13,2,0,0,9,359
13,2,0,0,10,425
13,2,0,0,11,344
13,2,0,0,12,335
13,2,0,0,13,320
13,2,0,0,14,286
13,2,0,0,15,333
14,2,0,0,0,343
14,2,0,0,1,381
14,2,0,0,2,315
14,2,0,0,3,356
14,2,0,0,4,357
14,2,0,0,5,302
14,2,0,0,6,316
14,2,0,0,7,350
14,2,0,0,8,368
14,2,0,0,9,337
14,2,0,0,10,371
14,2,0,0,11,352
14,2,0,0,12,301
14,2,0,0,13,299
14,2,0,0,14,283
14,2,0,0,15,299
15,2,0,0,0,395
15,2,0,0,1,451
15,2,0,0,2,399
15,2,0,0,3,455
15,2,0,0,4,380
15,2,0,0,5,360
15,2,0,0,6,386
15,2,0,0,7,442
15,2,0,0,8,458
15,2,0,0,9,413
15,2,0,0,10,432
15,2,0,0,11,399
15,2,0,0,12,390
15,2,0,0,13,366
15,2,0,0,14,356
15,2,0,0,15,380
16,2,0,0,0,540
16,2,0,0,1,635
16,2,0,0,2,490
16,2,0,0,3,518
16,2,0,0,4,569
16,2,0,0,5,525
16,2,0,0,6,503
16,2,0,0,7,506
16,2,0,0,8,595
16,2,0,0,9,544
16,2,0,0,10,635
16,2,0,0,11,558
16,2,0,0,12,494
16,2,0,0,13,461
16,2,0,0,14,456
16,2,0,0,15,495
17,2,0,0,0,889
17,2,0,0,1,1018
17,2,0,0,2,799
17,2,0,0,3,933
17,2,0,0,4,888
17,2,0,0,5,808
17,2,0,0,6,871
17,2,0,0,7,888
17,2,0,0,8,966
17,2,0,0,9,851
17,2,0,0,10,951
17,2,0,0,11,804
17,2,0,0,12,796
17,2,0,0,13,741
17,2,0,0,14,685
17,2,0,0,15,847
18,2,0,0,0,902
18,2,0,0,1,1104
18,2,0,0,2,893
18,2,0,0,3,978
18,2,0,0,4,891
18,2,0,0,5,867
18,2,0,0,6,895
18,2,0,0,7,883
18,2,0,0,8,1007
18,2,0,0,9,890
18,2,0,0,10,1081
18,2,0,0,11,965
18,2,0,0,12,854
18,2,0,0,13,823
18,2,0,0,14,777
18,2,0,0,15,847
19,2,0,0,0,705
19,2,0,0,1,811
19,2,0,0,2,742
19,2,0,0,3,803
19,2,0,0,4,704
19,2,0,0,5,692
19,2,0,0,6,756
19,2,0,0,7,791
19,2,0,0,8,856
19,2,0,0,9,728
19,2,0,0,10,794
19,2,0,0,11,726
19,2,0,0,12,705
19,2,0,0,13,674
19,2,0,0,14,665
19,2,0,0,15,726
20,2,0,0,0,480
20,2,0,0,1,576
20,2,0,0,2,483
20,2,0,0,3,517
20,2,0,0,4,513
20,2,0,0,5,456
20,2,0,0,6,474
20,2,0,0,7,514
20,2,0,0,8,541
20,2,0,0,9,491
20,2,0,0,10,556
20,2,0,0,11,485
20,2,0,0,12,457
20,2,0,0,13,470
20,2,0,0,14,404
20,2,0,0,15,426
21,2,0,0,0,369
21,2,0,0,1,431
21,2,0,0,2,387
21,2,0,0,3,358
21,2,0,0,4,391
21,2,0,0,5,375
21,2,0,0,6,352
21,2,0,0,7,379
21,2,0,0,8,404
21,2,0,0,9,356
21,2,0,0,10,412
21,2,0,0,11,407
21,2,0,0,12,379
21,2,0,0,13,332
21,2,0,0,14,345
21,2,0,0,15,353
22,2,0,0,0,207
22,2,0,0,1,245
22,2,0,0,2,232
22,2,0,0,3,231
22,2,0,0,4,208
22,2,0,0,5,204
22,2,0,0,6,202
22,2,0,0,7,210
22,2,0,0,8,241
22,2,0,0,9,206
22,2,0,0,10,235
22,2,0,0,11,215
22,2,0,0,12,199
22,2,0,0,13,191
22,2,0,0,14,165
22,2,0,0,15,202
23,2,0,0,0,91
23,2,0,0,1,108
23,2,0,0,2,89
23,2,0,0,3,103
23,2,0,0,4,90
23,2,0,0,5,86
23,2,0,0,6,89
23,2,0,0,7,95
23,2,0,0,8,105
23,2,0,0,9,88
23,2,0,0,10,106
23,2,0,0,11,96
23,2,0,0,12,81
23,2,0,0,13,77
23,2,0,0,14,80
23,2,0,0,15,87
0,3,1,0,0,41
0,3,1,0,1,45
0,3,1,0,2,38
0,3,1,0,3,41
0,3,1,0,4,42
0,3,1,0,5,40
0,3,1,0,6,39
0,3,1,0,7,37
0,3,1,0,8,42
0,3,1,0,9,38
0,3,1,0,10,44
0,3,1,0,11,41
0,3,1,0,12,38
0,3,1,0,13,36
0,3,1,0,14,36
0,3,1,0,15,37
1,3,1,0,0,24
1,3,1,0,1,30
1,3,1,0,2,25
1,3,1,0,3,27
1,3,1,0,4,28
1,3,1,0,5,24
1,3,1,0,6,27
1,3,1,0,7,26
1,3,1,0,8,27
1,3,1,0,9,25
1,3,1,0,10,27
1,3,1,0,11,26
1,3,1,0,12,25
1,3,1,0,13,24
1,3,1,0,14,22
1,3,1,0,15,25
2,3,1,0,0,20
2,3,1,0,1,24
2,3,1,0,2,18
2,3,1,0,3,21
2,3,1,0,4,20
2,3,1,0,5,19
2,3,1,0,6,19
2,3,1,0,7,20
2,3,1,0,8,24
2,3,1,0,9,19
2,3,1,0,10,23
2,3,1,0,11,20
2,3,1,0,12,19
2,3,1,0,13,18
2,3,1,0,14,17
2,3,1,0,15,20
3,3,1,0,0,15
3,3,1,0,1,17
3,3,1,0,2,15
3,3,1,0,3,17
3,3,1,0,4,16
3,3,1,0,5,14
3,3,1,0,6,16
3,3,1,0,7,16
3,3,1,0,8,18
3,3,1,0,9,15
3,3,1,0,10,17
3,3,1,0,11,16
3,3,1,0,12,13
3,3,1,0,13,14
3,3,1,0,14,11
3,3,1,0,15,13
4,3,1,0,0,19
4,3,1,0,1,23
4,3,1,0,2,21
4,3,1,0,3,22
4,3,1,0,4,23
4,3,1,0,5,19
4,3,1,0,6,21
4,3,1,0,7,23
4,3,1,0,8,23
4,3,1,0,9,19
4,3,1,0,10,23
4,3,1,0,11,21
4,3,1,0,12,18
4,3,1,0,13,18
4,3,1,0,14,17
4,3,1,0,15,20
5,3,1,0,0,57
5,3,1,0,1,68
5,3,1,0,2,59
5,3,1,0,3,60
5,3,1,0,4,57
5,3,1,0,5,57
5,3,1,0,6,56
5,3,1,0,7,56
5,3,1,0,8,66
5,3,1,0,9,58
5,3,1,0,10,61
5,3,1,0,11,60
5,3,1,0,12,56
5,3,1,0,13,53
5,3,1,0,14,51
5,3,1,0,15,52
6,3,1,0,0,140
6,3,1,0,1,174
6,3,1,0,2,152
6,3,1,0,3,167
6,3,1,0,4,157
6,3,1,0,5,136
6,3,1,0,6,145
6,3,1,0,7,154
6,3,1,0,8,163
6,3,1,0,9,144
6,3,1,0,10,167
6,3,1,0,11,149
6,3,1,0,12,133
6,3,1,0,13,128
6,3,1,0,14,128
6,3,1,0,15,137
7,3,0,0,0,368
7,3,0,0,1,425
7,3,0,0,2,339
7,3,0,0,3,410
7,3,0,0,4,365
7,3,0,0,5,319
7,3,0,0,6,342
7,3,0,0,7,357
7,3,0,0,8,404
7,3,0,0,9,353
7,3,0,0,10,398
7,3,0,0,11,382
7,3,0,0,12,346
7,3,0,0,13,330
7,3,0,0,14,315
7,3,0,0,15,350
8,3,1,0,0,450
8,3,1,0,1,580
8,3,1,0,2,493
8,3,1,0,3,559
8,3,1,0,4,539
8,3,1,0,5,476
8,3,1,0,6,484
8,3,1,0,7,525
8,3,1,0,8,546
8,3,1,0,9,493
8,3,1,0,10,580
8,3,1,0,11,503
8,3,1,0,12,487
8,3,1,0,13,463
8,3,1,0,14,413
8,3,1,0,15,490
9,3,1,0,0,535
9,3,1,0,1,626
9,3,1,0,2,540
9,3,1,0,3,613
9,3,1,0,4,554
9,3,1,0,5,537
9,3,1,0,6,524
9,3,1,0,7,571
9,3,1,0,8,627
9,3,1,0,9,606
9,3,1,0,10,589
9,3,1,0,11,610
9,3,1,0,12,531
9,3,1,0,13,512
9,3,1,0,14,482
9,3,1,0,15,537
10,3,1,0,0,461
10,3,1,0,1,576
10,3,1,0,2,457
10,3,1,0,3,509
10,3,1,0,4,469
10,3,1,0,5,457
10,3,1,0,6,496
10,3,1,0,7,488
10,3,1,0,8,526
10,3,1,0,9,448
10,3,1,0,10,526
10,3,1,0,11,458
10,3,1,0,12,432
10,3,1,0,13,432
10,3,1,0,14,430
10,3,1,0,15,499
11,3,1,0,0,374
11,3,1,0,1,432
11,3,1,0,2,377
11,3,1,0,3,404
11,3,1,0,4,388
11,3,1,0,5,349
11,3,1,0,6,350
11,3,1,0,7,363
11,3,1,0,8,430
11,3,1,0,9,366
11,3,1,0,10,409
11,3,1,0,11,387
11,3,1,0,12,366
11,3,1,0,13,341
11,3,1,0,14,314
11,3,1,0,15,372
12,3,1,0,0,343
12,3,1,0,1,401
12,3,1,0,2,335
12,3,1,0,3,364
12,3,1,0,4,348
12,3,1,0,5,299
12,3,1,0,6,336
12,3,1,0,7,322
12,3,1,0,8,357
12,3,1,0,9,344
12,3,1,0,10,382
12,3,1,0,11,361
12,3,1,0,12,309
12,3,1,0,13,284
12,3,1,0,14,281
12,3,1,0,15,314
13,3,1,0,0,315
13,3,1,0,1,381
13,3,1,0,2,307
13,3,1,0,3,354
13,3,1,0,4,334
13,3,1,0,5,297
13,3,1,0,6,317
13,3,1,0,7,331
13,3,1,0,8,358
13,3,1,0,9,343
13,3,1,0,10,360
13,3,1,0,11,330
13,3,1,0,12,280
13,3,1,0,13,282
13,3,1,0,14,275
13,3,1,0,15,298
14,3,0,0,0,369
14,3,0,0,1,432
14,3,0,0,2,367
14,3,0,0,3,400
14,3,0,0,4,410
14,3,0,0,5,319
14,3,0,0,6,338
14,3,0,0,7,376
14,3,0,0,8,416
14,3,0,0,9,378
14,3,0,0,10,424
14,3,0,0,11,378
14,3,0,0,12,366
14,3,0,0,13,350
14,3,0,0,14,322
14,3,0,0,15,365
15,3,1,0,0,317
15,3,1,0,1,363
15,3,1,0,2,308
15,3,1,0,3,355
15,3,1,0,4,290
15,3,1,0,5,278
15,3,1,0,6,293
15,3,1,0,7,317
15,3,1,0,8,345
15,3,1,0,9,290
15,3,1,0,10,335
15,3,1,0,11,310
15,3,1,0,12,324
15,3,1,0,13,302
15,3,1,0,14,263
15,3,1,0,15,290
16,3,1,0,0,371
16,3,1,0,1,420
16,3,1,0,2,371
16,3,1,0,3,379
16,3,1,0,4,377
16,3,1,0,5,359
16,3,1,0,6,378
16,3,1,0,7,395
16,3,1,0,8,399
16,3,1,0,9,385
16,3,1,0,10,408
16,3,1,0,11,399
16,3,1,0,12,356
16,3,1,0,13,322
16,3,1,0,14,320
16,3,1,0,15,362
17,3,1,0,0,636
17,3,1,0,1,732
17,3,1,0,2,593
17,3,1,0,3,671
17,3,1,0,4,674
17,3,1,0,5,618
17,3,1,0,6,570
17,3,1,0,7,602
17,3,1,0,8,718
17,3,1,0,9,574
17,3,1,0,10,642
17,3,1,0,11,613
17,3,1,0,12,583
17,3,1,0,13,545
17,3,1,0,14,507
17,3,1,0,15,558
18,3,1,0,0,694
18,3,1,0,1,756
18,3,1,0,2,659
18,3,1,0,3,678
18,3,1,0,4,659
18,3,1,0,5,591
18,3,1,0,6,569
18,3,1,0,7,627
18,3,1,0,8,667
18,3,1,0,9,579
18,3,1,0,10,685
18,3,1,0,11,699
18,3,1,0,12,607
18,3,1,0,13,611
18,3,1,0,14,562
18,3,1,0,15,627
19,3,0,0,0,761
19,3,0,0,1,935
19,3,0,0,2,797
19,3,0,0,3,828
19,3,0,0,4,776
19,3,0,0,5,710
19,3,0,0,6,782
19,3,0,0,7,823
19,3,0,0,8,853
19,3,0,0,9,780
19,3,0,0,10,901
19,3,0,0,11,833
19,3,0,0,12,791
19,3,0,0,13,748
19,3,0,0,14,650
19,3,0,0,15,795
20,3,1,0,0,499
20,3,1,0,1,575
20,3,1,0,2,462
20,3,1,0,3,537
20,3,1,0,4,487
20,3,1,0,5,495
20,3,1,0,6,528
20,3,1,0,7,503
20,3,1,0,8,570
20,3,1,0,9,483
20,3,1,0,10,549
20,3,1,0,11,536
20,3,1,0,12,475
20,3,1,0,13,486
20,3,1,0,14,425
20,3,1,0,15,495
21,3,1,0,0,327
21,3,1,0,1,390
21,3,1,0,2,331
21,3,1,0,3,350
21,3,1,0,4,356
21,3,1,0,5,327
21,3,1,0,6,341
21,3,1,0,7,369
21,3,1,0,8,398
21,3,1,0,9,328
21,3,1,0,10,382
21,3,1,0,11,339
21,3,1,0,12,319
21,3,1,0,13,296
21,3,1,0,14,308
21,3,1,0,15,323
22,3,1,0,0,134
22,3,1,0,1,176
22,3,1,0,2,146
22,3,1,0,3,160
22,3,1,0,4,144
22,3,1,0,5,139
22,3,1,0,6,157
22,3,1,0,7,157
22,3,1,0,8,165
22,3,1,0,9,143
22,3,1,0,10,162
22,3,1,0,11,139
22,3,1,0,12,141
22,3,1,0,13,137
22,3,1,0,14,118
22,3,1,0,15,135
23,3,1,0,0,81
23,3,1,0,1,87
23,3,1,0,2,83
23,3,1,0,3,91
23,3,1,0,4,84
23,3,1,0,5,70
23,3,1,0,6,78
23,3,1,0,7,89
23,3,1,0,8,82
23,3,1,0,9,80
23,3,1,0,10,87
23,3,1,0,11,87
23,3,1,0,12,76
23,3,1,0,13,75
23,3,1,0,14,72
23,3,1,0,15,83
0,4,0,0,0,42
0,4,0,0,1,46
0,4,0,0,2,40
0,4,0,0,3,44
0,4,0,0,4,40
0,4,0,0,5,39
0,4,0,0,6,42
0,4,0,0,7,43
0,4,0,0,8,43
0,4,0,0,9,40
